block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
2,7300,dci_gated,21,MixShift3,1,0.561272,1.0,0.256409,0.811905,0.775897,0.670365,1,1.8292,5-D,20,20,6062.973,6626.189,3.0183,1.0
2,7300,dci_gated,22,MixShift3,0,0.849829,1.0,0.689487,0.839744,0.744103,0.829919,0,1.8493,5-D,20,20,6065.61,6749.287,2.9633,1.0
2,7300,dci_gated,23,MixShift3,0,0.940591,1.0,0.753316,1.0,0.793462,0.90483,0,1.8445,5-D,20,20,9428.6,9970.289,2.006,1.0
2,7300,dci_gated,24,MixShift3,0,0.731603,1.0,0.499399,0.839744,0.750385,0.763287,0,1.8114,5-D,20,20,8761.66,9417.578,2.1237,1.0
3,7400,dci_gated,1,MixBase,0,0.859176,1.0,0.639001,1.0,0.628718,0.836902,0,,5-D,20,20,4443.774,4941.849,4.0471,1.0
3,7400,dci_gated,2,MixBase,0,0.897713,1.0,0.662409,1.0,0.819487,0.879833,0,,5-D,20,20,4441.509,4936.965,4.0511,1.0
3,7400,dci_gated,3,MixBase,0,0.920554,1.0,0.726516,1.0,0.787308,0.893538,0,1.838,5-D,20,20,4779.341,5333.715,3.7497,1.0
3,7400,dci_gated,4,MixBase,0,0.871175,1.0,0.518735,1.0,0.680641,0.823637,0,1.9948,5-D,20,20,3268.514,3664.841,5.4573,1.0
3,7400,dci_gated,5,MixShift1,1,0.57451,1.0,0.241191,0.440092,0.693333,0.583884,1,1.1744,5-D,20,20,3544.42,4094.212,4.8849,1.0
3,7400,dci_gated,6,MixShift1,0,0.741206,1.0,0.518322,0.9375,0.667051,0.776524,1,1.2326,5-D,20,20,5106.41,5640.37,3.5459,1.0
3,7400,dci_gated,7,MixShift1,0,0.861371,1.0,0.716822,0.9375,0.767308,0.861303,0,1.2456,5-D,20,20,4414.569,4894.456,4.0863,1.0
3,7400,dci_gated,8,MixShift1,0,0.905484,1.0,0.724829,1.0,0.760897,0.885471,0,1.2436,5-D,20,20,4188.401,4725.26,4.2326,1.0
3,7400,dci_gated,9,MixSurge1,1,0.933376,0.625,0.827763,1.0,0.822436,0.847262,1,1.7019,5-D,32,32,6513.82,7402.022,4.3231,1.0
3,7400,dci_gated,10,MixSurge1,0,0.944342,1.0,0.855901,1.0,0.721916,0.915553,0,1.72,5-D,32,32,7335.544,8304.815,3.8532,1.0
3,7400,dci_gated,11,MixSurge1,0,0.918402,1.0,0.724223,1.0,0.735951,0.884838,0,1.7146,5-D,32,32,6073.746,7112.378,4.4992,1.0
3,7400,dci_gated,12,MixSurge1,0,0.874892,1.0,0.632291,1.0,0.679946,0.847173,0,1.7388,5-D,32,32,7265.588,8171.612,3.916,1.0
3,7400,dci_gated,13,MixShift2,1,0.591609,1.0,0.313329,0.807882,0.703806,0.677715,1,1.6331,5-D,32,32,14475.282,15646.538,2.0452,1.0
3,7400,dci_gated,14,MixShift2,0,0.890157,1.0,0.653161,1.0,0.787746,0.871334,0,1.6407,5-D,32,32,11688.109,12618.986,2.5359,1.0
3,7400,dci_gated,15,MixShift2,0,0.841626,1.0,0.712819,0.981481,0.771822,0.86504,0,1.6488,5-D,32,32,9279.581,10279.678,3.1129,1.0
3,7400,dci_gated,16,MixShift2,0,0.861371,1.0,0.80361,0.981481,0.780297,0.889406,0,1.6657,5-D,32,32,11281.877,12524.345,2.555,1.0
3,7400,dci_gated,17,MixCalm,1,0.913002,0.625,0.798957,1.0,0.787308,0.831138,1,1.8895,5-D,20,20,6908.688,7290.856,2.7432,1.0
3,7400,dci_gated,18,MixCalm,0,0.952814,1.0,0.678508,1.0,0.666923,0.873943,0,1.916,5-D,20,20,8112.254,8730.605,2.2908,1.0
3,7400,dci_gated,19,MixCalm,0,0.880073,1.0,0.549739,1.0,0.898846,0.864793,0,2.0142,5-D,20,20,6457.176,7136.285,2.8026,1.0
3,7400,dci_gated,20,MixCalm,0,0.905792,1.0,0.727837,1.0,0.683846,0.874592,0,2.0214,5-D,20,20,6421.887,7091.596,2.8202,1.0
3,7400,dci_gated,21,MixShift3,1,0.613338,1.0,0.367307,0.811905,0.799103,0.709042,1,1.9266,5-D,20,20,9108.836,9772.132,2.0466,1.0
3,7400,dci_gated,22,MixShift3,0,1.0,1.0,0.914326,1.0,0.587308,0.920961,1,1.9589,5-D,20,20,7863.506,8534.386,2.3435,1.0
3,7400,dci_gated,23,MixShift3,0,0.828067,1.0,0.645658,0.839744,0.846154,0.83102,0,1.9906,5-D,20,20,9047.581,9440.136,2.1186,1.0
3,7400,dci_gated,24,MixShift3,0,0.882123,1.0,0.878251,0.839744,0.718846,0.871957,0,2.0799,5-D,20,20,8344.951,8938.447,2.2375,1.0
4,7500,dci_gated,1,MixBase,0,0.869421,1.0,0.586722,1.0,0.789103,0.853065,0,,5-D,20,20,4779.163,5140.907,3.8904,1.0
4,7500,dci_gated,2,MixBase,0,0.86444,1.0,0.602656,1.0,0.718846,0.844468,0,,5-D,20,20,4387.402,5065.186,3.9485,1.0
4,7500,dci_gated,3,MixBase,0,0.924065,1.0,0.781926,1.0,0.825897,0.911286,0,1.7285,5-D,20,20,4804.584,5444.381,3.6735,1.0
4,7500,dci_gated,4,MixBase,0,0.926974,1.0,0.760709,1.0,0.735513,0.894212,0,1.7235,5-D,20,20,4141.842,4740.535,4.2189,1.0
4,7500,dci_gated,5,MixShift1,1,0.68833,1.0,0.523489,0.440092,0.700128,0.669818,1,1.2364,5-D,20,20,4846.489,5483.057,3.6476,1.0
4,7500,dci_gated,6,MixShift1,0,0.927134,1.0,0.764639,1.0,0.730385,0.894269,0,1.2824,5-D,20,20,5238.605,5810.131,3.4423,1.0
4,7500,dci_gated,7,MixShift1,0,0.924065,1.0,0.615667,1.0,0.661667,0.8534,0,1.3592,5-D,20,20,4623.505,5123.561,3.9035,1.0
4,7500,dci_gated,8,MixShift1,0,0.874615,1.0,0.435409,1.0,0.713974,0.812832,0,1.6352,5-D,20,20,4152.217,4615.779,4.333,1.0
4,7500,dci_gated,9,MixSurge1,1,0.865985,0.625,0.637715,1.0,0.817436,0.791655,1,2.4238,5-D,32,32,7339.789,8368.565,3.8238,1.0
4,7500,dci_gated,10,MixSurge1,0,0.940549,1.0,0.759289,1.0,0.707395,0.893104,0,2.4552,5-D,32,32,6777.932,7749.292,4.1294,1.0
4,7500,dci_gated,11,MixSurge1,0,0.854695,1.0,0.578127,1.0,0.818408,0.85206,0,2.5333,5-D,32,32,7043.563,8111.822,3.9449,1.0
4,7500,dci_gated,12,MixSurge1,0,0.944342,1.0,0.861466,1.0,0.808664,0.929678,0,2.5931,5-D,32,32,7038.932,8128.803,3.9366,1.0
4,7500,dci_gated,13,MixShift2,1,0.577033,1.0,0.250644,0.807882,0.838704,0.681769,1,2.3391,5-D,32,32,16257.891,17377.659,1.8414,1.0
4,7500,dci_gated,14,MixShift2,0,0.851413,1.0,0.695674,1.0,0.810553,0.873571,0,2.3608,5-D,32,32,11839.534,12582.475,2.5432,1.0
4,7500,dci_gated,15,MixShift2,0,0.871319,1.0,0.727874,1.0,0.723968,0.872,0,2.3584,5-D,32,32,11622.846,12620.01,2.5357,1.0
4,7500,dci_gated,16,MixShift2,0,0.940549,1.0,0.76519,1.0,0.821727,0.911434,0,2.3548,5-D,32,32,9537.558,10718.122,2.9856,1.0
4,7500,dci_gated,17,MixCalm,1,0.839678,0.625,0.568082,1.0,0.722564,0.756921,1,2.6837,5-D,20,20,8195.548,8764.696,2.2819,1.0
4,7500,dci_gated,18,MixCalm,0,0.923755,1.0,0.735778,1.0,0.713846,0.885171,0,2.6682,5-D,20,20,6358.282,7031.467,2.8444,1.0
4,7500,dci_gated,19,MixCalm,0,0.867263,1.0,0.67308,1.0,0.595513,0.840759,0,2.7586,5-D,20,20,8540.917,8986.497,2.2256,1.0
4,7500,dci_gated,20,MixCalm,0,0.894343,1.0,0.813614,1.0,0.648718,0.883616,0,2.7667,5-D,20,20,9132.578,9702.367,2.0614,1.0
4,7500,dci_gated,21,MixShift3,1,0.646599,1.0,0.40805,0.811905,0.782308,0.722987,1,2.5517,5-D,20,20,9918.069,10475.877,1.9091,1.0
4,7500,dci_gated,22,MixShift3,0,0.892239,1.0,0.700714,1.0,0.720769,0.871318,0,2.547,5-D,20,20,7136.121,7847.814,2.5485,1.0
4,7500,dci_gated,23,MixShift3,0,0.854174,1.0,0.667587,0.980769,0.728462,0.852484,0,2.5502,5-D,20,20,6224.151,6690.786,2.9892,1.0
4,7500,dci_gated,24,MixShift3,0,0.78722,1.0,0.547861,0.980769,0.830769,0.827147,0,2.5675,5-D,20,20,8767.805,9457.767,2.1147,1.0
5,7600,dci_gated,1,MixBase,0,0.860812,1.0,0.698268,1.0,0.827051,0.878914,0,,5-D,20,20,4575.65,5070.869,3.9441,1.0
5,7600,dci_gated,2,MixBase,0,0.792377,1.0,0.560876,0.880952,0.767564,0.801595,0,,5-D,20,20,3841.208,4449.325,4.4951,1.0
5,7600,dci_gated,3,MixBase,0,0.798913,1.0,0.684295,0.880952,0.736026,0.823182,0,2.0753,5-D,20,20,3988.559,4615.098,4.3336,1.0
5,7600,dci_gated,4,MixBase,0,0.839868,1.0,0.722432,1.0,0.718718,0.862261,0,2.3548,5-D,20,20,3506.387,4083.436,4.8978,1.0
5,7600,dci_gated,5,MixShift1,1,0.651489,1.0,0.464597,0.440092,0.785385,0.661618,1,1.1248,5-D,20,20,4332.178,4817.123,4.1519,1.0
5,7600,dci_gated,6,MixShift1,0,0.97895,1.0,0.786394,1.0,0.833846,0.927093,0,1.241,5-D,20,20,4107.093,4703.735,4.2519,1.0
5,7600,dci_gated,7,MixShift1,0,0.910463,1.0,0.733022,1.0,0.608974,0.865566,0,1.3433,5-D,20,20,4821.298,5385.41,3.7137,1.0
5,7600,dci_gated,8,MixShift1,0,0.896497,1.0,0.775005,1.0,0.737308,0.889721,0,1.3748,5-D,20,20,4302.295,4816.977,4.152,1.0
