analysis_timestamp_utc,run_id,workload,config,dim,n_seeds,mean_gap,sd_gap,var_floor,epsilon_run,n_ref,delta_ref,dim_sufficient
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,mixed,S_V,50,0.15666666666666673,0.07461161721901145,0.00966666666666667,0.027942009755540512,15,0.05444736258553114,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,mixed,S_T,50,0.25000000000000006,1.4052287228021121e-16,0.0125,0.03177417439400683,15,0.0619146585811835,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,mixed,S_A,50,0.2566666666666667,0.022837292968155797,0.012388888888888889,0.031632640619589925,15,0.06163886808503824,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,mixed,S_P,50,0.15666666666666673,0.07461161721901145,0.00966666666666667,0.027942009755540512,15,0.05444736258553114,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,template_only,S_R,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,template_only,S_V,50,0.3500000000000001,0.09816918156232529,0.008611111111111113,0.02789937270660223,15,0.05436428069974591,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,template_only,S_T,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,template_only,S_A,50,0.033333333333333354,0.050507627227610576,0.0026111111111111114,0.0145221843238812,15,0.02829770092895671,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,template_only,S_P,50,0.3500000000000001,0.09816918156232529,0.008611111111111113,0.02789937270660223,15,0.05436428069974591,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,volume_only,S_R,50,0.5,0.0,0.0,0.0,15,0.0,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,volume_only,S_V,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,volume_only,S_T,50,0.5,0.0,0.0,0.0,15,0.0,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,volume_only,S_A,50,0.5,0.0,0.0,0.0,15,0.0,False
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,volume_only,S_P,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,tpch,mixed,S_R,50,0.40761904761904766,0.05223940589047072,0.017277875150060025,0.03735634985693801,15,0.07279199826094662,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,mixed,S_V,50,0.24504761904761907,0.020944428210657954,0.012465893023876217,0.03173079594334264,15,0.0618301320116069,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,mixed,S_T,50,0.17609523809523808,0.02684257543159419,0.008707386954781913,0.026519369274859858,15,0.05167522762608662,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,mixed,S_A,50,0.2517142857142857,0.013614282842002728,0.01251986127784447,0.0317994074030258,15,0.06196382722736177,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,mixed,S_P,50,0.24504761904761907,0.020944428210657954,0.012465893023876217,0.03173079594334264,15,0.0618301320116069,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,template_only,S_R,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,tpch,template_only,S_V,50,0.495,0.01999149479017456,0.00041666666666666664,0.005801144020566861,15,0.011304018381715,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,template_only,S_T,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,tpch,template_only,S_A,50,0.0016666666666666629,0.011785113019775766,0.0001388888888888889,0.0033492920618820657,15,0.006526378055607634,True
2026-07-05T13:58:56Z,20260705T135856Z,tpch,template_only,S_P,50,0.495,0.01999149479017456,0.00041666666666666664,0.005801144020566861,15,0.011304018381715,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,volume_only,S_R,50,0.6343809523809524,0.05827585871692707,0.011405086034413765,0.030350688765791736,15,0.05914087678048995,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,volume_only,S_V,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,tpch,volume_only,S_T,50,0.375047619047619,0.05258428597297761,0.008482843804188341,0.02617519968654222,15,0.0510045841566301,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,volume_only,S_A,50,0.5,0.0,0.0,0.0,15,0.0,False
2026-07-05T13:58:56Z,20260705T135856Z,tpch,volume_only,S_P,50,0.0,0.0,0.0,0.0,15,0.0,True
