block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
2,9200,dci_gated,14,text,0,0.7491239058970864,1.0,0.733900869643995,0.7,0.8307692307692308,0.7986765350184553,0,20,20,0,281.421,281.591,71.0249
2,9200,dci_gated,15,text,0,0.8449993298886327,1.0,0.5526185432400122,0.875,0.8153846153846155,0.819081233427853,0,20,20,0,731.043,731.215,27.3517
2,9200,dci_gated,16,text,0,0.7528787559760183,1.0,0.42587575668284305,0.8,0.7050000000000001,0.7391448403305733,0,20,20,0,558.749,558.931,35.7826
2,9200,dci_gated,17,text,0,0.7515862392632935,1.0,0.5325508374594015,0.8,0.6751282051282051,0.7556759580769344,0,20,20,0,362.572,362.739,55.136
2,9200,dci_gated,18,text,0,0.8078369302724201,1.0,0.8140927454733944,0.75,0.8508974358974359,0.8424123970473993,0,20,20,0,459.987,460.154,43.4637
2,9200,dci_gated,19,review,1,0.49228247142807535,1.0,0.028977207557705498,0.3269230769230769,0.6171794871794872,0.48682759783009844,1,20,20,0,15150.566,15150.935,1.3201
2,9200,dci_gated,20,review,0,0.7651937842014789,1.0,0.45446220865247444,0.6944444444444444,0.6741025641025641,0.7221951612851382,1,20,20,0,543.942,544.177,36.7528
2,9200,dci_gated,21,review,0,0.6737291911887655,1.0,0.4359917261983727,0.43333333333333335,0.6878205128205128,0.6454703866266096,1,20,20,0,306.575,306.784,65.1925
2,9200,dci_gated,22,review,0,0.869607399298308,1.0,0.6450215618741105,0.875,0.8493589743589745,0.8488100083532453,0,20,20,0,421.889,422.086,47.3837
2,9200,dci_gated,23,review,0,0.7888898021985431,1.0,0.7054182974054207,0.6333333333333333,0.7032051282051283,0.7704535459281558,1,20,20,0,592.996,593.182,33.7165
2,9200,dci_gated,24,review,0,0.8232086375977514,1.0,0.6802993260372643,0.6944444444444444,0.6517948717948718,0.7785201442650105,1,20,20,0,398.187,398.407,50.2
3,9300,dci_gated,1,edge,0,0.7848421927924534,1.0,0.7780860822788062,0.7,0.7474358974358974,0.8039431492692592,0,20,20,0,427.85,428.153,46.7123
3,9300,dci_gated,2,edge,0,0.798088603661685,1.0,0.7205638552359652,0.75,0.7885897435897435,0.8119233835010758,0,20,20,0,517.217,517.5,38.6474
3,9300,dci_gated,3,edge,0,0.7940898643434111,1.0,0.7768159288260112,0.8,0.753974358974359,0.8269818056972089,0,20,20,0,330.641,330.924,60.4368
3,9300,dci_gated,4,edge,0,0.7439550637154713,1.0,0.7943758476211935,0.8,0.7607692307692309,0.8189793200684912,0,20,20,0,145.451,145.772,137.2002
3,9300,dci_gated,5,edge,0,0.6870541139084309,1.0,0.547542294419759,0.7,0.7775641025641027,0.7379066027456749,0,20,20,0,565.643,565.979,35.337
3,9300,dci_gated,6,edge,0,0.8563766343245237,1.0,0.4548192411363383,0.875,0.8176923076923077,0.8027118529622448,0,20,20,0,191.828,192.064,104.1318
3,9300,dci_gated,7,geo,1,0.5668009014791648,1.0,0.02971918780982974,0.525,0.8073076923076923,0.573740216777911,1,20,20,0,4851.746,4852.23,4.1218
3,9300,dci_gated,8,geo,0,0.8623841308747962,1.0,0.5782018227282031,0.8166666666666667,0.8223076923076924,0.8179158844438269,0,20,20,0,2603.676,2604.08,7.6803
3,9300,dci_gated,9,geo,0,0.7435279423879632,1.0,0.6878489793609672,0.7166666666666667,0.747051282051282,0.7788428071102098,0,20,20,0,2051.6,2051.943,9.7469
3,9300,dci_gated,10,geo,0,0.6930685413500116,1.0,0.37306536491986353,0.6333333333333333,0.6147435897435898,0.6667584134496808,1,20,20,0,406.015,406.384,49.2145
3,9300,dci_gated,11,geo,0,0.7628116343099623,1.0,0.605994954297653,0.65,0.7188461538461539,0.7497288225139443,0,20,20,0,1461.803,1462.202,13.678
3,9300,dci_gated,12,geo,0,0.8157590964076121,1.0,0.7369017221107774,0.6666666666666667,0.7706410256410257,0.8002496057035458,0,20,20,0,2266.423,2266.778,8.8231
