analysis_timestamp_utc,run_id,block,window_start,window_end,dci
2026-07-05T13:56:59Z,20260705T135649Z,54,2700,2750,1.3471629808
2026-07-05T13:56:59Z,20260705T135649Z,55,2750,2800,2.1054146778
2026-07-05T13:56:59Z,20260705T135649Z,56,2800,2850,2.1762109173
2026-07-05T13:56:59Z,20260705T135649Z,57,2850,2900,1.7442176362
2026-07-05T13:56:59Z,20260705T135649Z,58,2900,2950,2.0253405456
2026-07-05T13:56:59Z,20260705T135649Z,59,2950,3000,1.8522488383
2026-07-05T13:56:59Z,20260705T135649Z,60,3000,3050,1.7884388399
2026-07-05T13:56:59Z,20260705T135649Z,61,3050,3100,1.8627147221
2026-07-05T13:56:59Z,20260705T135649Z,62,3100,3150,1.5251160784
2026-07-05T13:56:59Z,20260705T135649Z,63,3150,3200,1.5968426936
2026-07-05T13:56:59Z,20260705T135649Z,64,3200,3250,1.9267558776
2026-07-05T13:56:59Z,20260705T135649Z,65,3250,3300,1.8582550357
2026-07-05T13:56:59Z,20260705T135649Z,66,3300,3350,1.8561470070
2026-07-05T13:56:59Z,20260705T135649Z,67,3350,3400,1.6480044569
2026-07-05T13:56:59Z,20260705T135649Z,68,3400,3450,2.3361234105
2026-07-05T13:56:59Z,20260705T135649Z,69,3450,3500,2.1723815283
2026-07-05T13:56:59Z,20260705T135649Z,70,3500,3550,1.8602458638
2026-07-05T13:56:59Z,20260705T135649Z,71,3550,3600,1.8346997196
2026-07-05T13:56:59Z,20260705T135649Z,72,3600,3650,2.0665845471
2026-07-05T13:56:59Z,20260705T135649Z,73,3650,3700,1.8173874315
2026-07-05T13:56:59Z,20260705T135649Z,74,3700,3750,2.2264541283
2026-07-05T13:56:59Z,20260705T135649Z,75,3750,3800,1.3344295483
2026-07-05T13:56:59Z,20260705T135649Z,76,3800,3850,1.2191081334
2026-07-05T13:56:59Z,20260705T135649Z,77,3850,3900,1.6750958501
2026-07-05T13:56:59Z,20260705T135649Z,78,3900,3950,1.8963297265
2026-07-05T13:56:59Z,20260705T135649Z,79,3950,4000,1.6891630030
2026-07-05T13:56:59Z,20260705T135649Z,80,4000,4050,1.7385794556
2026-07-05T13:56:59Z,20260705T135649Z,81,4050,4100,2.4053120430
2026-07-05T13:56:59Z,20260705T135649Z,82,4100,4150,2.0081064071
2026-07-05T13:56:59Z,20260705T135649Z,83,4150,4200,1.9797681741
2026-07-05T13:56:59Z,20260705T135649Z,84,4200,4250,2.0808576105
2026-07-05T13:56:59Z,20260705T135649Z,85,4250,4300,1.7130935466
2026-07-05T13:56:59Z,20260705T135649Z,86,4300,4350,1.9691862014
2026-07-05T13:56:59Z,20260705T135649Z,87,4350,4400,2.0871090910
2026-07-05T13:56:59Z,20260705T135649Z,88,4400,4450,1.8459614471
2026-07-05T13:56:59Z,20260705T135649Z,89,4450,4500,1.4274464558
2026-07-05T13:56:59Z,20260705T135649Z,90,4500,4550,1.7126769689
2026-07-05T13:56:59Z,20260705T135649Z,91,4550,4600,1.9007093260
2026-07-05T13:56:59Z,20260705T135649Z,92,4600,4650,2.1422546315
2026-07-05T13:56:59Z,20260705T135649Z,93,4650,4700,1.6290297068
2026-07-05T13:56:59Z,20260705T135649Z,94,4700,4750,2.2867276598
2026-07-05T13:56:59Z,20260705T135649Z,95,4750,4800,1.8771071232
