analysis_timestamp_utc,run_id,window,S_R,S_V,S_T,S_A,S_P,HSM
2026-07-05T13:56:59Z,20260705T135649Z,3823,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7533333333,0.7982350349
2026-07-05T13:56:59Z,20260705T135649Z,3824,0.7525263750,1.0000000000,0.9471067961,0.5000000000,0.8408974359,0.8036875684
2026-07-05T13:56:59Z,20260705T135649Z,3825,0.7525263750,1.0000000000,0.9471067961,0.5000000000,0.6588461538,0.7763798761
2026-07-05T13:56:59Z,20260705T135649Z,3826,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.8039743590,0.8058311887
2026-07-05T13:56:59Z,20260705T135649Z,3827,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.8070512821,0.8062927272
2026-07-05T13:56:59Z,20260705T135649Z,3828,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.8576923077,0.8138888810
2026-07-05T13:56:59Z,20260705T135649Z,3829,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7505128205,0.7978119579
2026-07-05T13:56:59Z,20260705T135649Z,3830,0.6666666667,1.0000000000,0.9220336936,0.3333333333,0.8671794872,0.7478169951
2026-07-05T13:56:59Z,20260705T135649Z,3831,0.8308156933,1.0000000000,0.8961891502,0.6666666667,0.6570512821,0.8188327790
2026-07-05T13:56:59Z,20260705T135649Z,3832,0.8308156933,1.0000000000,0.8961891502,0.6666666667,0.7607692308,0.8343904713
2026-07-05T13:56:59Z,20260705T135649Z,3833,0.8048689313,1.0000000000,0.9502376885,0.6666666667,0.6967948718,0.8291173346
2026-07-05T13:56:59Z,20260705T135649Z,3834,0.7233498105,1.0000000000,0.9500849642,0.3333333333,0.9008974359,0.7726557275
2026-07-05T13:56:59Z,20260705T135649Z,3835,0.7011185094,1.0000000000,0.8126754436,0.2500000000,0.6728205128,0.6887377930
2026-07-05T13:56:59Z,20260705T135649Z,3836,0.7911717252,1.0000000000,0.8438487297,0.5000000000,0.8273076923,0.7906588311
2026-07-05T13:56:59Z,20260705T135649Z,3837,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.8558974359,0.9783846154
2026-07-05T13:56:59Z,20260705T135649Z,3838,0.6666666667,1.0000000000,0.9526695251,0.3333333333,0.7870512821,0.7419249307
2026-07-05T13:56:59Z,20260705T135649Z,3839,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7837179487,0.8027927272
2026-07-05T13:56:59Z,20260705T135649Z,3840,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7738461538,0.8013119579
2026-07-05T13:56:59Z,20260705T135649Z,3841,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.6794871795,0.7871581118
