engine,block,window,dci_roll,regime,fired,truth
MG,35,12,2.0621,5-D,0,0
MG,36,13,1.6623,5-D,1,1
MG,37,14,1.6644,5-D,0,0
MG,38,15,1.6852,5-D,0,0
MG,39,16,1.6891,5-D,0,0
MG,40,17,2.01,5-D,1,1
MG,41,18,1.9902,5-D,0,0
MG,42,19,1.9809,5-D,0,0
MG,43,20,1.9716,5-D,0,0
MG,44,21,1.7864,5-D,1,1
MG,45,22,1.7947,5-D,0,0
MG,46,23,1.8145,5-D,1,0
MG,47,24,1.8213,5-D,1,0
MG,48,1,,5-D,0,0
MG,48,2,,5-D,0,0
MG,48,3,1.3083,1-D,0,0
MG,48,4,1.4615,1-D,1,0
MG,48,5,1.114,1-D,1,1
MG,48,6,1.1997,1-D,0,0
MG,48,7,1.2804,1-D,0,0
MG,48,8,1.3039,1-D,0,0
MG,48,9,2.0092,5-D,1,1
MG,49,10,1.9109,5-D,0,0
MG,50,11,1.8709,5-D,0,0
MG,51,12,1.846,5-D,0,0
MG,52,13,1.6152,5-D,1,1
MG,53,14,1.6246,5-D,0,0
MG,54,15,1.6346,5-D,0,0
MG,55,16,1.6655,5-D,0,0
MG,56,17,1.9584,5-D,1,1
MG,57,18,2.0036,5-D,0,0
MG,58,19,2.0093,5-D,0,0
MG,59,20,1.9981,5-D,0,0
MG,60,21,1.7789,5-D,1,1
MG,61,22,1.785,5-D,0,0
MG,62,23,1.8021,5-D,0,0
MG,63,24,1.7985,5-D,0,0
MG,64,1,,5-D,0,0
MG,64,2,,5-D,0,0
MG,64,3,1.7207,5-D,0,0
MG,64,4,2.0733,5-D,0,0
MG,64,5,1.2182,1-D,1,1
MG,64,6,1.2556,1-D,0,0
MG,64,7,1.3049,1-D,0,0
MG,64,8,1.31,1-D,0,0
MG,64,9,2.0695,5-D,1,1
MG,65,10,2.1429,5-D,0,0
MG,66,11,2.1863,5-D,0,0
MG,67,12,2.177,5-D,0,0
MG,68,13,1.8147,5-D,1,1
MG,69,14,1.8164,5-D,0,0
MG,70,15,1.7973,5-D,0,0
MG,71,16,1.7888,5-D,0,0
MG,72,17,2.1105,5-D,1,1
MG,73,18,2.1848,5-D,0,0
MG,74,19,2.2242,5-D,0,0
MG,75,20,2.2534,5-D,0,0
MG,76,21,1.9505,5-D,1,1
MG,77,22,1.9519,5-D,0,0
MG,78,23,1.9474,5-D,0,0
MG,79,24,2.0628,5-D,1,0
MG,80,1,,5-D,0,0
MG,80,2,,5-D,0,0
MG,80,3,1.3576,1-D,1,0
MG,80,4,2.0902,5-D,1,0
MG,80,5,1.1365,1-D,1,1
MG,80,6,1.3464,1-D,0,0
MG,80,7,1.3508,1-D,0,0
MG,80,8,1.3588,1-D,0,0
MG,80,9,2.2891,5-D,1,1
MG,81,10,2.3599,5-D,0,0
MG,82,11,2.3397,5-D,0,0
MG,83,12,2.3988,5-D,0,0
MG,84,13,1.8749,5-D,1,1
MG,85,14,1.8742,5-D,0,0
MG,86,15,1.8799,5-D,0,0
MG,87,16,1.8849,5-D,0,0
MG,88,17,2.2432,5-D,1,1
MG,89,18,2.2995,5-D,1,0
MG,90,19,2.3615,5-D,0,0
MG,91,20,2.4216,5-D,0,0
MG,92,21,2.1156,5-D,1,1
MG,93,22,2.1247,5-D,0,0
MG,94,23,2.083,5-D,1,0
MG,95,24,2.1502,5-D,0,0
MG,96,1,,5-D,0,0
MG,96,2,,5-D,0,0
MG,96,3,1.3161,1-D,0,0
MG,96,4,1.4512,1-D,1,0
MG,96,5,1.303,1-D,1,1
MG,96,6,1.3077,1-D,0,0
MG,96,7,1.3253,1-D,0,0
MG,96,8,1.3459,1-D,0,0
MG,96,9,2.152,5-D,1,1
MG,97,10,2.1677,5-D,0,0
MG,98,11,2.1535,5-D,0,0
MG,99,12,2.1212,5-D,0,0
MG,100,13,1.8019,5-D,1,1
MG,101,14,1.79,5-D,0,0
MG,102,15,1.7974,5-D,0,0
MG,103,16,1.8105,5-D,0,0
MG,104,17,2.0764,5-D,1,1
MG,105,18,2.0824,5-D,0,0
MG,106,19,2.0706,5-D,0,0
MG,107,20,2.0869,5-D,0,0
MG,108,21,1.7798,5-D,1,1
MG,109,22,1.7949,5-D,1,0
MG,110,23,1.8116,5-D,1,0
MG,111,24,1.8201,5-D,0,0
MG,112,1,,5-D,0,0
MG,112,2,,5-D,0,0
MG,112,3,1.448,1-D,1,0
MG,112,4,1.4215,1-D,0,0
MG,112,5,1.0998,1-D,1,1
MG,112,6,1.1236,1-D,0,0
MG,112,7,1.134,1-D,0,0
MG,112,8,1.285,1-D,0,0
MG,112,9,1.9627,5-D,1,1
MG,113,10,1.9548,5-D,0,0
MG,114,11,1.9861,5-D,0,0
MG,115,12,1.966,5-D,0,0
MG,116,13,1.7469,5-D,1,1
MG,117,14,1.7856,5-D,0,0
MG,118,15,1.7908,5-D,0,0
MG,119,16,1.7825,5-D,0,0
MG,120,17,2.1443,5-D,1,1
MG,121,18,2.1729,5-D,0,0
MG,122,19,2.2085,5-D,1,0
MG,123,20,2.1862,5-D,0,0
MG,124,21,1.8755,5-D,1,1
MG,125,22,1.8838,5-D,0,0
MG,126,23,1.8743,5-D,0,0
MG,127,24,1.8873,5-D,0,0
MG,128,1,,5-D,0,0
MG,128,2,,5-D,0,0
MG,128,3,1.506,5-D,0,0
MG,128,4,2.1829,5-D,0,0
MG,128,5,1.1539,1-D,1,1
MG,128,6,1.2135,1-D,0,0
MG,128,7,1.2671,1-D,0,0
MG,128,8,1.3235,1-D,0,0
MG,128,9,1.9993,5-D,1,1
MG,129,10,1.9728,5-D,0,0
MG,130,11,1.9785,5-D,0,0
MG,131,12,1.95,5-D,0,0
MG,132,13,1.6856,5-D,1,1
MG,133,14,1.7043,5-D,0,0
MG,134,15,1.6901,5-D,0,0
MG,135,16,1.7317,5-D,0,0
MG,136,17,2.0139,5-D,1,1
MG,137,18,2.0323,5-D,0,0
MG,138,19,2.0762,5-D,1,0
MG,139,20,2.043,5-D,1,0
MG,140,21,1.8254,5-D,1,1
MG,141,22,1.8823,5-D,0,0
MG,142,23,1.8967,5-D,0,0
MG,143,24,1.9078,5-D,0,0
MG,144,1,,5-D,0,0
MG,144,2,,5-D,0,0
MG,144,3,1.062,1-D,1,0
MG,144,4,1.7652,5-D,0,0
MG,144,5,1.1215,1-D,1,1
MG,144,6,1.1328,1-D,0,0
MG,144,7,1.1301,1-D,0,0
MG,144,8,1.14,1-D,0,0
MG,144,9,1.7925,5-D,1,1
MG,145,10,1.7628,5-D,0,0
MG,146,11,1.7601,5-D,0,0
MG,147,12,1.789,5-D,0,0
MG,148,13,1.7343,5-D,1,1
MG,149,14,1.7389,5-D,0,0
MG,150,15,1.7681,5-D,0,0
MG,151,16,1.7755,5-D,0,0
MG,152,17,2.1143,5-D,1,1
MG,153,18,2.1255,5-D,0,0
MG,154,19,2.2106,5-D,1,0
MG,155,20,2.2181,5-D,0,0
MG,156,21,1.8513,5-D,1,1
MG,157,22,1.9008,5-D,0,0
MG,158,23,1.9072,5-D,0,0
MG,159,24,1.9333,5-D,0,0
