workload,config,seed,dci_raw,dci_w,auc_multiD,auc_w1D,auc_raw1D_best,gap_md_w1,vargap_md_w1,dci_w_r1e-08,dci_w_r1e-06,dci_w_r0.0001,dci_w_r0.01
job,volume_only,12,1.094418,1.008554,1.0,1.0,1.0,0.0,0.0,1.008547,1.008554,1.009226,1.03629
job,volume_only,13,1.173235,1.00602,1.0,1.0,1.0,0.0,0.0,1.006008,1.00602,1.007201,1.063061
job,volume_only,14,1.157112,1.006857,1.0,1.0,1.0,0.0,0.0,1.006845,1.006857,1.008008,1.054116
job,volume_only,15,1.070838,1.006604,1.0,1.0,1.0,0.0,0.0,1.006578,1.006604,1.008268,1.035245
job,volume_only,16,1.067349,1.008563,1.0,1.0,1.0,0.0,0.0,1.008547,1.008563,1.009048,1.027579
job,volume_only,17,1.095745,1.007907,1.0,1.0,1.0,0.0,0.0,1.007878,1.007907,1.010074,1.04819
job,volume_only,18,1.103823,1.010153,1.0,1.0,1.0,0.0,0.0,1.010137,1.010153,1.011279,1.047295
job,volume_only,19,1.060876,1.006854,1.0,1.0,1.0,0.0,0.0,1.006845,1.006854,1.007498,1.022175
job,volume_only,20,1.125034,1.009318,1.0,1.0,1.0,0.0,0.0,1.009296,1.009318,1.0107,1.044407
job,volume_only,21,1.096592,1.006611,1.0,1.0,1.0,0.0,0.0,1.006578,1.006611,1.009294,1.050019
job,volume_only,22,1.226683,1.006038,1.0,1.0,1.0,0.0,0.0,1.006008,1.006038,1.008639,1.069946
job,volume_only,23,1.134344,1.006865,1.0,1.0,1.0,0.0,0.0,1.006845,1.006865,1.008619,1.048093
job,volume_only,24,1.113392,1.0066,1.0,1.0,1.0,0.0,0.0,1.006578,1.0066,1.008101,1.043449
job,volume_only,25,1.093048,1.006863,1.0,1.0,1.0,0.0,0.0,1.006845,1.006863,1.008282,1.042743
