geom,delta,seed,policy,recall,fa,auc,esc_pct,feat_pct,note
axis_sv,2.5,23,dci_v3_a8,0.3333,3,0.8286,12.2,16.55,
axis_sv,2.5,24,always_multiD,0.3333,2,0.7476,100.0,100.0,
axis_sv,2.5,24,union4_bonf,0.3333,0,0.8095,0.0,4.96,
axis_sv,2.5,24,best_axis_oracle,0.6667,5,0.881,0.0,0.01,S_V
axis_sv,2.5,24,sketch1,0.0,2,0.8905,0.0,100.0,
axis_sv,2.5,24,dci_v3,0.3333,0,0.8095,0.0,4.96,
axis_sv,2.5,24,dci_v3_a8,0.3333,0,0.7143,12.2,16.55,
axis_sv,2.5,25,always_multiD,0.3333,1,0.8095,100.0,100.0,
axis_sv,2.5,25,union4_bonf,0.6667,2,0.8524,0.0,4.96,
axis_sv,2.5,25,best_axis_oracle,0.8333,1,0.9476,0.0,0.01,S_V
axis_sv,2.5,25,sketch1,0.1667,5,0.6524,0.0,100.0,
axis_sv,2.5,25,dci_v3,0.6667,2,0.8524,0.0,4.96,
axis_sv,2.5,25,dci_v3_a8,0.6667,2,0.8619,12.2,16.55,
axis_sv,2.5,26,always_multiD,0.3333,1,0.6857,100.0,100.0,
axis_sv,2.5,26,union4_bonf,0.5,1,0.781,0.0,4.96,
axis_sv,2.5,26,best_axis_oracle,0.5,3,0.9143,0.0,0.01,S_V
axis_sv,2.5,26,sketch1,0.1667,2,0.6429,0.0,100.0,
axis_sv,2.5,26,dci_v3,0.5,1,0.781,0.0,4.96,
axis_sv,2.5,26,dci_v3_a8,0.3333,1,0.7048,12.2,16.55,
axis_sv,2.5,27,always_multiD,0.3333,0,0.9381,100.0,100.0,
axis_sv,2.5,27,union4_bonf,0.1667,0,0.7238,0.0,4.96,
axis_sv,2.5,27,best_axis_oracle,0.1667,1,0.8524,0.0,95.04,S_P
axis_sv,2.5,27,sketch1,0.1667,3,0.5571,0.0,100.0,
axis_sv,2.5,27,dci_v3,0.1667,0,0.7238,0.0,4.96,
axis_sv,2.5,27,dci_v3_a8,0.1667,0,0.6333,12.2,16.55,
axis_sv,2.5,28,always_multiD,0.3333,1,0.9048,100.0,100.0,
axis_sv,2.5,28,union4_bonf,0.5,0,0.8762,0.0,4.96,
axis_sv,2.5,28,best_axis_oracle,0.6667,1,0.9762,0.0,0.01,S_V
axis_sv,2.5,28,sketch1,0.1667,0,0.3762,0.0,100.0,
axis_sv,2.5,28,dci_v3,0.5,0,0.8762,0.0,4.96,
axis_sv,2.5,28,dci_v3_a8,0.5,0,0.9095,12.2,16.55,
axis_sv,2.5,29,always_multiD,0.5,2,0.781,100.0,100.0,
axis_sv,2.5,29,union4_bonf,0.6667,1,0.8381,0.0,4.96,
axis_sv,2.5,29,best_axis_oracle,0.6667,2,0.881,0.0,0.01,S_V
axis_sv,2.5,29,sketch1,0.6667,3,0.7952,0.0,100.0,
axis_sv,2.5,29,dci_v3,0.6667,1,0.8381,0.0,4.96,
axis_sv,2.5,29,dci_v3_a8,0.5,2,0.781,12.2,16.55,
axis_sv,2.5,30,always_multiD,0.3333,0,0.9429,100.0,100.0,
axis_sv,2.5,30,union4_bonf,0.5,2,0.9429,0.0,4.96,
axis_sv,2.5,30,best_axis_oracle,0.8333,1,0.9762,0.0,0.01,S_V
axis_sv,2.5,30,sketch1,0.3333,1,0.6524,0.0,100.0,
axis_sv,2.5,30,dci_v3,0.5,2,0.9429,0.0,4.96,
axis_sv,2.5,30,dci_v3_a8,0.5,2,0.9429,12.2,16.55,
axis_sv,2.5,31,always_multiD,0.1667,4,0.5857,100.0,100.0,
axis_sv,2.5,31,union4_bonf,0.1667,2,0.7286,0.0,4.96,
axis_sv,2.5,31,best_axis_oracle,0.3333,1,0.919,0.0,0.01,S_V
axis_sv,2.5,31,sketch1,0.1667,1,0.5714,0.0,100.0,
axis_sv,2.5,31,dci_v3,0.1667,2,0.7476,2.4,7.28,
axis_sv,2.5,31,dci_v3_a8,0.1667,2,0.781,14.6,18.87,
axis_sv,2.5,32,always_multiD,0.1667,4,0.6857,100.0,100.0,
axis_sv,2.5,32,union4_bonf,0.3333,4,0.6714,0.0,4.96,
axis_sv,2.5,32,best_axis_oracle,0.5,3,0.8619,0.0,0.01,S_V
axis_sv,2.5,32,sketch1,0.0,1,0.4905,0.0,100.0,
axis_sv,2.5,32,dci_v3,0.3333,4,0.6714,0.0,4.96,
axis_sv,2.5,32,dci_v3_a8,0.3333,4,0.7,12.2,16.55,
axis_sv,2.5,33,always_multiD,0.5,4,0.8238,100.0,100.0,
axis_sv,2.5,33,union4_bonf,0.3333,1,0.7905,0.0,4.96,
axis_sv,2.5,33,best_axis_oracle,0.6667,4,0.8952,0.0,0.01,S_V
axis_sv,2.5,33,sketch1,0.3333,3,0.7476,0.0,100.0,
axis_sv,2.5,33,dci_v3,0.3333,1,0.7905,0.0,4.96,
axis_sv,2.5,33,dci_v3_a8,0.5,1,0.8238,12.2,16.55,
axis_sv,2.5,34,always_multiD,0.1667,1,0.7619,100.0,100.0,
axis_sv,2.5,34,union4_bonf,0.1667,1,0.7857,0.0,4.96,
axis_sv,2.5,34,best_axis_oracle,0.5,0,0.8381,0.0,0.01,S_V
axis_sv,2.5,34,sketch1,0.3333,2,0.6,0.0,100.0,
axis_sv,2.5,34,dci_v3,0.1667,1,0.7857,0.0,4.96,
axis_sv,2.5,34,dci_v3_a8,0.1667,1,0.7381,12.2,16.55,
axis_sv,2.5,35,always_multiD,0.1667,0,0.7571,100.0,100.0,
axis_sv,2.5,35,union4_bonf,0.1667,1,0.8429,0.0,4.96,
axis_sv,2.5,35,best_axis_oracle,0.3333,0,0.9857,0.0,0.01,S_V
axis_sv,2.5,35,sketch1,0.0,1,0.7524,0.0,100.0,
axis_sv,2.5,35,dci_v3,0.1667,1,0.8429,0.0,4.96,
axis_sv,2.5,35,dci_v3_a8,0.1667,1,0.7476,12.2,16.55,
axis_sv,2.5,36,always_multiD,0.5,1,0.9333,100.0,100.0,
axis_sv,2.5,36,union4_bonf,0.6667,1,0.9667,0.0,4.96,
axis_sv,2.5,36,best_axis_oracle,0.8333,1,0.9714,0.0,0.01,S_V
axis_sv,2.5,36,sketch1,0.0,1,0.7714,0.0,100.0,
axis_sv,2.5,36,dci_v3,0.6667,1,0.9667,0.0,4.96,
axis_sv,2.5,36,dci_v3_a8,0.6667,1,0.8667,12.2,16.55,
axis_sv,2.5,37,always_multiD,0.6667,3,0.9381,100.0,100.0,
axis_sv,2.5,37,union4_bonf,0.6667,2,0.9714,0.0,4.96,
axis_sv,2.5,37,best_axis_oracle,0.8333,4,0.9667,0.0,0.01,S_V
axis_sv,2.5,37,sketch1,0.5,1,0.7667,0.0,100.0,
axis_sv,2.5,37,dci_v3,0.6667,2,0.9714,0.0,4.96,
axis_sv,2.5,37,dci_v3_a8,0.8333,2,0.9143,12.2,16.55,
axis_sv,2.5,38,always_multiD,0.8333,2,0.9667,100.0,100.0,
axis_sv,2.5,38,union4_bonf,0.8333,6,0.9524,0.0,4.96,
axis_sv,2.5,38,best_axis_oracle,1.0,7,0.9571,0.0,0.01,S_V
axis_sv,2.5,38,sketch1,0.5,2,0.8714,0.0,100.0,
axis_sv,2.5,38,dci_v3,0.8333,6,0.9524,0.0,4.96,
axis_sv,2.5,38,dci_v3_a8,0.8333,5,0.9381,12.2,16.55,
axis_sv,2.5,39,always_multiD,0.5,3,0.7619,100.0,100.0,
axis_sv,2.5,39,union4_bonf,0.8333,3,0.8095,0.0,4.96,
axis_sv,2.5,39,best_axis_oracle,0.8333,4,0.9048,0.0,0.01,S_V
axis_sv,2.5,39,sketch1,0.1667,2,0.8238,0.0,100.0,
axis_sv,2.5,39,dci_v3,0.8333,3,0.8095,0.0,4.96,
axis_sv,2.5,39,dci_v3_a8,0.8333,3,0.8238,12.2,16.55,
axis_sv,2.5,40,always_multiD,0.3333,0,0.9571,100.0,100.0,
axis_sv,2.5,40,union4_bonf,0.6667,1,0.9667,0.0,4.96,
axis_sv,2.5,40,best_axis_oracle,0.6667,0,0.9619,0.0,0.01,S_V
axis_sv,2.5,40,sketch1,0.3333,3,0.8429,0.0,100.0,
axis_sv,2.5,40,dci_v3,0.6667,1,0.9667,0.0,4.96,
axis_sv,2.5,40,dci_v3_a8,0.6667,1,0.9762,12.2,16.55,
axis_sv,2.5,41,always_multiD,0.8333,3,0.9619,100.0,100.0,
axis_sv,2.5,41,union4_bonf,0.8333,2,0.9857,0.0,4.96,
axis_sv,2.5,41,best_axis_oracle,1.0,2,1.0,0.0,0.01,S_V
axis_sv,2.5,41,sketch1,0.5,9,0.8095,0.0,100.0,
