workload,config,seed,policy,n_windows,n_onsets,onsets_hit,recall,mean_lag,false_alarms,advisor_calls,frac_5d_windows,monitor_cost_ms_per_window
tpch,mixed,25,always_1D,41,6,6,1.0,0.0,13,19,0.04878048780487805,0.12287928998031117
tpch,mixed,26,always_5D,41,6,6,1.0,0.0,15,21,1.0,2.348561333337177
tpch,mixed,26,dci_gated,41,6,6,1.0,0.0,15,21,0.0975609756097561,0.23701683066527926
tpch,mixed,26,always_1D,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,27,always_5D,41,6,6,1.0,0.0,17,23,1.0,2.348561333337177
tpch,mixed,27,dci_gated,41,6,6,1.0,0.0,17,23,0.0975609756097561,0.23701683066527904
tpch,mixed,27,always_1D,41,6,6,1.0,0.0,17,23,0.04878048780487805,0.12287928998031117
tpch,mixed,28,always_5D,41,6,6,1.0,0.0,15,21,1.0,2.348561333337177
tpch,mixed,28,dci_gated,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,28,always_1D,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,29,always_5D,41,6,6,1.0,0.0,17,23,1.0,2.348561333337177
tpch,mixed,29,dci_gated,41,6,6,1.0,0.0,17,23,0.04878048780487805,0.12287928998031117
tpch,mixed,29,always_1D,41,6,6,1.0,0.0,17,23,0.04878048780487805,0.12287928998031117
tpch,mixed,30,always_5D,41,6,6,1.0,0.0,21,27,1.0,2.348561333337177
tpch,mixed,30,dci_gated,41,6,6,1.0,0.0,21,27,0.2682926829268293,0.6364982230626643
tpch,mixed,30,always_1D,41,6,6,1.0,0.0,21,27,0.04878048780487805,0.12287928998031117
tpch,mixed,31,always_5D,41,6,6,1.0,0.0,22,28,1.0,2.348561333337177
tpch,mixed,31,dci_gated,41,6,6,1.0,0.0,22,28,0.12195121951219512,0.294085601007763
tpch,mixed,31,always_1D,41,6,6,1.0,0.0,22,28,0.04878048780487805,0.12287928998031117
tpch,mixed,32,always_5D,41,6,6,1.0,0.0,12,18,1.0,2.348561333337177
tpch,mixed,32,dci_gated,41,6,6,1.0,0.0,12,18,0.0975609756097561,0.23701683066527926
tpch,mixed,32,always_1D,41,6,6,1.0,0.0,12,18,0.04878048780487805,0.12287928998031117
tpch,mixed,33,always_5D,41,6,6,1.0,0.0,13,19,1.0,2.348561333337177
tpch,mixed,33,dci_gated,41,6,6,1.0,0.0,13,19,0.14634146341463414,0.3511543713502467
tpch,mixed,33,always_1D,41,6,6,1.0,0.0,13,19,0.04878048780487805,0.12287928998031117
tpch,mixed,34,always_5D,41,6,6,1.0,0.0,13,19,1.0,2.348561333337177
tpch,mixed,34,dci_gated,41,6,6,1.0,0.0,13,19,0.0975609756097561,0.23701683066527926
tpch,mixed,34,always_1D,41,6,6,1.0,0.0,13,19,0.04878048780487805,0.12287928998031117
