block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
5,7600,dci_gated,19,MixCalm,0,0.731397,1.0,0.329628,0.854497,0.815,0.741924,0,2.2834,5-D,20,20,11609.387,12336.702,1.6212,1.0
5,7600,dci_gated,20,MixCalm,0,0.811623,1.0,0.622508,0.854497,0.788205,0.816538,0,2.2826,5-D,20,20,9861.787,10603.661,1.8861,1.0
5,7600,dci_gated,21,MixShift3,1,0.64963,1.0,0.429802,0.811905,0.775,0.726999,1,2.1596,5-D,20,20,10679.111,11246.681,1.7783,1.0
5,7600,dci_gated,22,MixShift3,0,0.869428,1.0,0.631279,1.0,0.850385,0.871171,0,2.1928,5-D,20,20,14394.965,14865.977,1.3454,1.0
5,7600,dci_gated,23,MixShift3,0,0.859642,1.0,0.479614,1.0,0.827436,0.834949,0,2.2451,5-D,20,20,6916.527,7586.748,2.6362,1.0
5,7600,dci_gated,24,MixShift3,0,0.869428,1.0,0.558415,1.0,0.640769,0.825155,0,2.295,5-D,20,20,13383.209,13775.066,1.4519,1.0
6,7700,dci_gated,1,MixBase,0,0.907993,1.0,0.64762,1.0,0.757308,0.870118,0,,5-D,20,20,5067.123,5653.864,3.5374,1.0
6,7700,dci_gated,2,MixBase,0,0.936793,1.0,0.779462,1.0,0.767436,0.905206,0,,5-D,20,20,4375.574,4956.364,4.0352,1.0
6,7700,dci_gated,3,MixBase,0,0.88009,1.0,0.848321,0.880952,0.816154,0.8883,1,1.4175,1-D,20,20,4465.588,5019.377,3.9846,1.0
6,7700,dci_gated,4,MixBase,0,0.739257,1.0,0.495466,0.880952,0.805769,0.780963,0,1.642,5-D,20,20,3654.774,4099.456,4.8787,1.0
6,7700,dci_gated,5,MixShift1,1,0.573407,1.0,0.250013,0.440092,0.875385,0.61268,1,1.2021,1-D,20,20,4781.991,5436.362,3.6789,1.0
6,7700,dci_gated,6,MixShift1,0,0.808109,1.0,0.670217,0.9375,0.728846,0.832897,0,1.2152,1-D,20,20,5484.601,5864.434,3.4104,1.0
6,7700,dci_gated,7,MixShift1,0,0.825614,1.0,0.575538,0.9375,0.718718,0.816819,0,1.2274,1-D,20,20,5954.161,6598.198,3.0311,1.0
6,7700,dci_gated,8,MixShift1,0,0.905792,1.0,0.681163,1.0,0.741026,0.873835,0,1.2273,1-D,20,20,5548.278,6138.234,3.2583,1.0
6,7700,dci_gated,9,MixSurge1,1,0.978996,0.625,0.878584,1.0,0.755513,0.858793,1,1.65,5-D,32,32,8614.454,10101.348,3.1679,1.0
6,7700,dci_gated,10,MixSurge1,0,0.978996,1.0,0.903446,1.0,0.817544,0.94807,0,1.6914,5-D,32,32,8598.978,9670.235,3.3091,1.0
6,7700,dci_gated,11,MixSurge1,0,0.873231,1.0,0.633867,1.0,0.743536,0.856612,0,1.6989,5-D,32,32,8368.257,9422.578,3.3961,1.0
6,7700,dci_gated,12,MixSurge1,0,0.957992,1.0,0.793131,1.0,0.758408,0.911885,0,1.6904,5-D,32,32,9228.471,9943.315,3.2182,1.0
6,7700,dci_gated,13,MixShift2,1,0.597205,1.0,0.340793,0.807882,0.81919,0.701915,1,1.5967,5-D,32,32,14084.156,14893.547,2.1486,1.0
6,7700,dci_gated,14,MixShift2,0,0.898809,1.0,0.747745,1.0,0.75525,0.887539,0,1.5936,5-D,32,32,16263.514,16998.079,1.8826,1.0
6,7700,dci_gated,15,MixShift2,0,0.927134,1.0,0.801472,1.0,0.848583,0.919365,0,1.62,5-D,32,32,15117.144,16254.274,1.9687,1.0
6,7700,dci_gated,16,MixShift2,0,0.896724,1.0,0.568143,1.0,0.805857,0.858688,0,1.6525,5-D,32,32,12562.129,13360.68,2.3951,1.0
6,7700,dci_gated,17,MixCalm,1,0.86444,0.625,0.618289,1.0,0.623462,0.758287,1,1.9687,5-D,20,20,10450.568,11006.064,1.8172,1.0
6,7700,dci_gated,18,MixCalm,0,0.889811,1.0,0.768438,1.0,0.51359,0.853179,1,2.0783,5-D,20,20,9520.857,10175.735,1.9655,1.0
6,7700,dci_gated,19,MixCalm,0,0.834886,1.0,0.513223,1.0,0.841026,0.83752,0,2.1186,5-D,20,20,9416.274,9692.294,2.0635,1.0
6,7700,dci_gated,20,MixCalm,0,0.86444,1.0,0.618862,1.0,0.775897,0.856267,0,2.1288,5-D,20,20,8053.617,8453.217,2.366,1.0
6,7700,dci_gated,21,MixShift3,1,0.652669,1.0,0.402585,0.67381,0.610385,0.670004,1,2.049,5-D,20,20,11356.46,11864.981,1.6856,1.0
6,7700,dci_gated,22,MixShift3,0,0.868519,1.0,0.822829,0.839744,0.727308,0.85874,0,2.1192,5-D,20,20,10350.615,11046.865,1.8105,1.0
6,7700,dci_gated,23,MixShift3,0,0.863136,1.0,0.831111,0.839744,0.712564,0.85684,0,2.1906,5-D,20,20,10514.758,11007.418,1.817,1.0
6,7700,dci_gated,24,MixShift3,0,0.955171,1.0,0.853627,1.0,0.746923,0.921557,0,2.1623,5-D,20,20,11676.122,12242.64,1.6336,1.0
7,7800,dci_gated,1,MixBase,0,0.838281,1.0,0.590367,0.880952,0.725385,0.812642,0,,5-D,20,20,5808.49,6509.317,3.0725,1.0
7,7800,dci_gated,2,MixBase,0,0.843183,1.0,0.697656,0.880952,0.695769,0.830883,0,,5-D,20,20,4607.7,5227.886,3.8256,1.0
