workload,config,seed,dci,eff_rank,stable_rank,p1
pgbench,template_only,13,1.029922303035428,1.079835231184456,1.0149645018628681,0.9852561327658236
pgbench,template_only,14,1.0641354088362713,1.1486109890044924,1.0321007488431415,0.9688976595752667
pgbench,template_only,15,1.0994675077492335,1.2105276209829492,1.0498573799679543,0.9525103305274892
pgbench,template_only,16,1.0315127744310135,1.0833216080664798,1.015760300898588,0.9844842322695169
pgbench,template_only,17,1.074979753924957,1.1683843239104705,1.0375427172802858,0.963815738229365
pgbench,template_only,18,1.027451819441652,1.0743432016123968,1.0137284966652764,0.9864574225638945
pgbench,template_only,19,1.002717019961144,1.0103668276294702,1.0013585124877784,0.9986433305645913
pgbench,template_only,20,1.027451819441652,1.0743432016123968,1.0137284966652764,0.9864574225638945
pgbench,template_only,21,1.0,1.0000000000000018,1.0,1.0
pgbench,template_only,22,1.037625469398218,1.0963981432693657,1.0188193976002033,0.9815282299841054
pgbench,template_only,23,1.020179718945914,1.0575510840697355,1.0100908868829683,0.9900099218654395
pgbench,template_only,24,1.0306791646026805,1.0814989461218991,1.0153431934474049,0.9848886627236749
pgbench,template_only,25,1.0000000000000004,1.0000000000000044,1.0000000000000002,0.9999999999999998
pgbench,template_only,26,1.0171594447041343,1.0502457072594078,1.0085803540124614,0.9914926421297758
pgbench,template_only,27,1.0457384196934914,1.1130702696695443,1.022881182988056,0.9776306541086082
pgbench,template_only,28,1.0000000000000002,1.0000000000000053,1.0000000000000002,0.9999999999999999
pgbench,template_only,29,1.0343858720524601,1.0895287960773496,1.0171980212141642,0.9830927500295015
pgbench,template_only,30,1.0171941054109366,1.0503308487877197,1.0085976882016883,0.9914756019151523
pgbench,template_only,31,1.0243841878927258,1.0673822300473246,1.0121939068054318,0.9879529932718951
pgbench,template_only,32,1.0146244233747728,1.0439268617668924,1.0073126027017516,0.992740483259975
pgbench,template_only,33,1.0174399712177677,1.0509338846912075,1.0087206487613027,0.9913547434842228
