cand_id,stratum,policy,hit,fa
69,cross/aligned,dci_v3_a8,1,13
69,cross/aligned,best_axis_oracle,1,11
69,cross/aligned,every_k2,0,7
69,cross/aligned,adwin,0,0
69,cross/aligned,mcusum,1,11
69,cross/aligned,sketch1,1,13
70,cross/aligned,always_multiD,1,19
70,cross/aligned,union4_bonf,1,19
70,cross/aligned,dci_v3,1,19
70,cross/aligned,dci_v3_a8,1,19
70,cross/aligned,best_axis_oracle,1,17
70,cross/aligned,every_k2,0,11
70,cross/aligned,adwin,0,0
70,cross/aligned,mcusum,1,19
70,cross/aligned,sketch1,1,19
71,cross/aligned,always_multiD,1,11
71,cross/aligned,union4_bonf,1,11
71,cross/aligned,dci_v3,1,11
71,cross/aligned,dci_v3_a8,1,11
71,cross/aligned,best_axis_oracle,1,11
71,cross/aligned,every_k2,1,5
71,cross/aligned,adwin,0,0
71,cross/aligned,mcusum,1,11
71,cross/aligned,sketch1,1,11
72,cross/aligned,always_multiD,1,17
72,cross/aligned,union4_bonf,1,17
72,cross/aligned,dci_v3,1,17
72,cross/aligned,dci_v3_a8,1,17
72,cross/aligned,best_axis_oracle,1,3
72,cross/aligned,every_k2,0,10
72,cross/aligned,adwin,0,0
72,cross/aligned,mcusum,1,12
72,cross/aligned,sketch1,1,16
73,cross/aligned,always_multiD,1,11
73,cross/aligned,union4_bonf,1,11
73,cross/aligned,dci_v3,1,11
73,cross/aligned,dci_v3_a8,1,11
73,cross/aligned,best_axis_oracle,1,11
73,cross/aligned,every_k2,1,5
73,cross/aligned,adwin,0,0
73,cross/aligned,mcusum,1,11
73,cross/aligned,sketch1,1,11
74,cross/aligned,always_multiD,1,15
74,cross/aligned,union4_bonf,1,17
74,cross/aligned,dci_v3,1,17
74,cross/aligned,dci_v3_a8,1,16
74,cross/aligned,best_axis_oracle,1,15
74,cross/aligned,every_k2,0,8
74,cross/aligned,adwin,0,0
74,cross/aligned,mcusum,1,15
74,cross/aligned,sketch1,1,17
75,cross/aligned,always_multiD,1,11
75,cross/aligned,union4_bonf,1,11
75,cross/aligned,dci_v3,1,11
75,cross/aligned,dci_v3_a8,1,11
75,cross/aligned,best_axis_oracle,1,11
75,cross/aligned,every_k2,0,6
75,cross/aligned,adwin,0,0
75,cross/aligned,mcusum,1,11
75,cross/aligned,sketch1,1,11
76,cross/aligned,always_multiD,1,11
76,cross/aligned,union4_bonf,1,11
76,cross/aligned,dci_v3,1,11
76,cross/aligned,dci_v3_a8,1,11
76,cross/aligned,best_axis_oracle,1,2
76,cross/aligned,every_k2,0,6
76,cross/aligned,adwin,0,0
76,cross/aligned,mcusum,1,11
76,cross/aligned,sketch1,1,11
77,cross/aligned,always_multiD,1,17
77,cross/aligned,union4_bonf,1,17
77,cross/aligned,dci_v3,1,17
77,cross/aligned,dci_v3_a8,1,17
77,cross/aligned,best_axis_oracle,1,1
77,cross/aligned,every_k2,0,10
77,cross/aligned,adwin,0,0
77,cross/aligned,mcusum,1,12
77,cross/aligned,sketch1,1,16
78,cross/aligned,always_multiD,1,11
78,cross/aligned,union4_bonf,1,0
78,cross/aligned,dci_v3,1,9
78,cross/aligned,dci_v3_a8,1,9
78,cross/aligned,best_axis_oracle,1,0
78,cross/aligned,every_k2,0,6
78,cross/aligned,adwin,0,0
78,cross/aligned,mcusum,1,11
78,cross/aligned,sketch1,1,11
79,cross/aligned,always_multiD,1,11
79,cross/aligned,union4_bonf,1,10
79,cross/aligned,dci_v3,1,10
79,cross/aligned,dci_v3_a8,1,10
79,cross/aligned,best_axis_oracle,1,0
79,cross/aligned,every_k2,0,6
79,cross/aligned,adwin,0,0
79,cross/aligned,mcusum,1,11
79,cross/aligned,sketch1,1,11
80,cross/aligned,always_multiD,1,11
80,cross/aligned,union4_bonf,1,0
80,cross/aligned,dci_v3,1,11
80,cross/aligned,dci_v3_a8,1,11
80,cross/aligned,best_axis_oracle,1,0
80,cross/aligned,every_k2,0,6
80,cross/aligned,adwin,0,0
80,cross/aligned,mcusum,0,1
80,cross/aligned,sketch1,0,2
81,cross/aligned,always_multiD,1,11
81,cross/aligned,union4_bonf,1,8
81,cross/aligned,dci_v3,1,8
81,cross/aligned,dci_v3_a8,1,8
81,cross/aligned,best_axis_oracle,1,3
81,cross/aligned,every_k2,1,5
81,cross/aligned,adwin,0,0
81,cross/aligned,mcusum,1,11
81,cross/aligned,sketch1,1,11
82,cross/aligned,always_multiD,1,11
82,cross/aligned,union4_bonf,1,0
82,cross/aligned,dci_v3,1,7
82,cross/aligned,dci_v3_a8,1,7
82,cross/aligned,best_axis_oracle,1,0
82,cross/aligned,every_k2,1,5
82,cross/aligned,adwin,0,0
82,cross/aligned,mcusum,1,11
82,cross/aligned,sketch1,1,11
83,cross/aligned,always_multiD,1,11
83,cross/aligned,union4_bonf,1,10
83,cross/aligned,dci_v3,1,10
83,cross/aligned,dci_v3_a8,1,10
83,cross/aligned,best_axis_oracle,1,1
83,cross/aligned,every_k2,0,6
83,cross/aligned,adwin,0,0
83,cross/aligned,mcusum,1,11
83,cross/aligned,sketch1,1,11
84,cross/aligned,always_multiD,1,11
84,cross/aligned,union4_bonf,1,11
84,cross/aligned,dci_v3,1,11
84,cross/aligned,dci_v3_a8,1,11
84,cross/aligned,best_axis_oracle,1,9
84,cross/aligned,every_k2,0,6
84,cross/aligned,adwin,0,0
84,cross/aligned,mcusum,1,11
84,cross/aligned,sketch1,1,11
85,cross/aligned,always_multiD,1,11
85,cross/aligned,union4_bonf,1,0
85,cross/aligned,dci_v3,1,11
85,cross/aligned,dci_v3_a8,1,11
85,cross/aligned,best_axis_oracle,1,0
85,cross/aligned,every_k2,0,6
85,cross/aligned,adwin,0,0
85,cross/aligned,mcusum,0,2
85,cross/aligned,sketch1,0,0
86,cross/aligned,always_multiD,1,11
86,cross/aligned,union4_bonf,1,2
86,cross/aligned,dci_v3,1,2
86,cross/aligned,dci_v3_a8,1,3
86,cross/aligned,best_axis_oracle,1,3
86,cross/aligned,every_k2,0,6
86,cross/aligned,adwin,0,0
86,cross/aligned,mcusum,1,11
86,cross/aligned,sketch1,1,11
87,cross/aligned,always_multiD,1,11
87,cross/aligned,union4_bonf,1,6
87,cross/aligned,dci_v3,1,6
87,cross/aligned,dci_v3_a8,1,7
87,cross/aligned,best_axis_oracle,1,0
87,cross/aligned,every_k2,0,6
87,cross/aligned,adwin,0,0
87,cross/aligned,mcusum,1,11
87,cross/aligned,sketch1,1,11
88,cross/aligned,always_multiD,1,11
88,cross/aligned,union4_bonf,1,11
88,cross/aligned,dci_v3,1,11
88,cross/aligned,dci_v3_a8,1,11
88,cross/aligned,best_axis_oracle,1,11
88,cross/aligned,every_k2,1,5
88,cross/aligned,adwin,0,0
88,cross/aligned,mcusum,1,11
88,cross/aligned,sketch1,1,11
89,cross/aligned,always_multiD,1,13
89,cross/aligned,union4_bonf,1,13
89,cross/aligned,dci_v3,1,13
89,cross/aligned,dci_v3_a8,1,13
89,cross/aligned,best_axis_oracle,1,11
89,cross/aligned,every_k2,1,6
89,cross/aligned,adwin,0,0
89,cross/aligned,mcusum,1,13
89,cross/aligned,sketch1,1,13
90,cross/aligned,always_multiD,1,12
90,cross/aligned,union4_bonf,1,11
90,cross/aligned,dci_v3,1,11
90,cross/aligned,dci_v3_a8,1,11
90,cross/aligned,best_axis_oracle,1,11
90,cross/aligned,every_k2,1,6
90,cross/aligned,adwin,0,0
90,cross/aligned,mcusum,1,11
90,cross/aligned,sketch1,1,11
91,cross/aligned,always_multiD,1,11
91,cross/aligned,union4_bonf,1,11
91,cross/aligned,dci_v3,1,11
91,cross/aligned,dci_v3_a8,1,11
91,cross/aligned,best_axis_oracle,1,11
91,cross/aligned,every_k2,0,6
91,cross/aligned,adwin,0,0
91,cross/aligned,mcusum,1,11
91,cross/aligned,sketch1,1,11
92,cross/aligned,always_multiD,1,13
92,cross/aligned,union4_bonf,1,14
92,cross/aligned,dci_v3,1,14
92,cross/aligned,dci_v3_a8,1,14
92,cross/aligned,best_axis_oracle,1,11
92,cross/aligned,every_k2,1,6
92,cross/aligned,adwin,0,0
92,cross/aligned,mcusum,1,11
92,cross/aligned,sketch1,1,14
93,cross/aligned,always_multiD,1,11
93,cross/aligned,union4_bonf,1,11
93,cross/aligned,dci_v3,1,11
93,cross/aligned,dci_v3_a8,1,11
93,cross/aligned,best_axis_oracle,1,11
93,cross/aligned,every_k2,0,6
93,cross/aligned,adwin,0,0
93,cross/aligned,mcusum,1,11
93,cross/aligned,sketch1,1,11
94,cross/aligned,always_multiD,1,13
94,cross/aligned,union4_bonf,1,13
94,cross/aligned,dci_v3,1,13
94,cross/aligned,dci_v3_a8,1,13
94,cross/aligned,best_axis_oracle,1,11
94,cross/aligned,every_k2,1,6
94,cross/aligned,adwin,0,0
94,cross/aligned,mcusum,1,11
94,cross/aligned,sketch1,1,13
95,cross/aligned,always_multiD,1,11
95,cross/aligned,union4_bonf,1,11
95,cross/aligned,dci_v3,1,11
95,cross/aligned,dci_v3_a8,1,11
95,cross/aligned,best_axis_oracle,1,11
95,cross/aligned,every_k2,1,5
95,cross/aligned,adwin,0,0
95,cross/aligned,mcusum,1,11
95,cross/aligned,sketch1,1,11
96,cross/aligned,always_multiD,1,15
96,cross/aligned,union4_bonf,1,15
96,cross/aligned,dci_v3,1,15
96,cross/aligned,dci_v3_a8,1,15
96,cross/aligned,best_axis_oracle,1,11
96,cross/aligned,every_k2,1,7
96,cross/aligned,adwin,0,0
96,cross/aligned,mcusum,1,15
96,cross/aligned,sketch1,1,14
97,cross/aligned,always_multiD,1,15
97,cross/aligned,union4_bonf,1,15
97,cross/aligned,dci_v3,1,15
97,cross/aligned,dci_v3_a8,1,15
97,cross/aligned,best_axis_oracle,1,11
97,cross/aligned,every_k2,0,8
97,cross/aligned,adwin,0,0
97,cross/aligned,mcusum,1,15
97,cross/aligned,sketch1,1,15
98,cross/aligned,always_multiD,1,11
98,cross/aligned,union4_bonf,1,0
98,cross/aligned,dci_v3,1,9
98,cross/aligned,dci_v3_a8,1,9
98,cross/aligned,best_axis_oracle,1,0
98,cross/aligned,every_k2,0,6
98,cross/aligned,adwin,0,0
98,cross/aligned,mcusum,0,1
98,cross/aligned,sketch1,0,0
99,cross/aligned,always_multiD,1,11
99,cross/aligned,union4_bonf,1,11
99,cross/aligned,dci_v3,1,11
99,cross/aligned,dci_v3_a8,1,11
99,cross/aligned,best_axis_oracle,1,11
99,cross/aligned,every_k2,0,6
99,cross/aligned,adwin,0,0
99,cross/aligned,mcusum,1,11
99,cross/aligned,sketch1,1,11
100,cross/aligned,always_multiD,1,11
100,cross/aligned,union4_bonf,1,11
100,cross/aligned,dci_v3,1,11
100,cross/aligned,dci_v3_a8,1,11
100,cross/aligned,best_axis_oracle,1,11
100,cross/aligned,every_k2,0,6
100,cross/aligned,adwin,0,0
100,cross/aligned,mcusum,1,11
100,cross/aligned,sketch1,1,11
101,cross/aligned,always_multiD,1,11
101,cross/aligned,union4_bonf,1,11
101,cross/aligned,dci_v3,1,11
101,cross/aligned,dci_v3_a8,1,11
101,cross/aligned,best_axis_oracle,1,0
101,cross/aligned,every_k2,1,5
101,cross/aligned,adwin,0,0
101,cross/aligned,mcusum,1,11
101,cross/aligned,sketch1,1,11
102,cross/aligned,always_multiD,1,11
102,cross/aligned,union4_bonf,1,11
102,cross/aligned,dci_v3,1,11
102,cross/aligned,dci_v3_a8,1,11
102,cross/aligned,best_axis_oracle,1,11
102,cross/aligned,every_k2,1,5
102,cross/aligned,adwin,0,0
102,cross/aligned,mcusum,1,11
102,cross/aligned,sketch1,1,11
103,cross/aligned,always_multiD,1,13
103,cross/aligned,union4_bonf,1,13
103,cross/aligned,dci_v3,1,13
103,cross/aligned,dci_v3_a8,1,13
103,cross/aligned,best_axis_oracle,1,11
103,cross/aligned,every_k2,0,7
103,cross/aligned,adwin,0,0
103,cross/aligned,mcusum,1,11
103,cross/aligned,sketch1,1,13
104,cross/aligned,always_multiD,1,17
104,cross/aligned,union4_bonf,1,17
104,cross/aligned,dci_v3,1,17
104,cross/aligned,dci_v3_a8,1,17
104,cross/aligned,best_axis_oracle,1,17
104,cross/aligned,every_k2,0,9
104,cross/aligned,adwin,0,0
104,cross/aligned,mcusum,1,17
104,cross/aligned,sketch1,1,17
105,cross/aligned,always_multiD,1,12
105,cross/aligned,union4_bonf,1,12
105,cross/aligned,dci_v3,1,12
105,cross/aligned,dci_v3_a8,1,12
105,cross/aligned,best_axis_oracle,1,8
105,cross/aligned,every_k2,1,5
105,cross/aligned,adwin,0,0
105,cross/aligned,mcusum,1,11
105,cross/aligned,sketch1,1,12
106,cross/aligned,always_multiD,1,11
106,cross/aligned,union4_bonf,1,11
106,cross/aligned,dci_v3,1,11
106,cross/aligned,dci_v3_a8,1,11
106,cross/aligned,best_axis_oracle,1,11
106,cross/aligned,every_k2,0,6
106,cross/aligned,adwin,0,0
106,cross/aligned,mcusum,1,11
106,cross/aligned,sketch1,1,11
107,cross/aligned,always_multiD,1,11
107,cross/aligned,union4_bonf,1,11
107,cross/aligned,dci_v3,1,11
107,cross/aligned,dci_v3_a8,1,11
107,cross/aligned,best_axis_oracle,1,1
107,cross/aligned,every_k2,1,5
107,cross/aligned,adwin,0,0
107,cross/aligned,mcusum,1,11
107,cross/aligned,sketch1,1,11
108,cross/aligned,always_multiD,1,19
108,cross/aligned,union4_bonf,1,19
108,cross/aligned,dci_v3,1,19
108,cross/aligned,dci_v3_a8,1,19
108,cross/aligned,best_axis_oracle,1,17
108,cross/aligned,every_k2,0,11
108,cross/aligned,adwin,0,0
108,cross/aligned,mcusum,1,19
108,cross/aligned,sketch1,1,19
109,cross/aligned,always_multiD,1,11
109,cross/aligned,union4_bonf,1,11
109,cross/aligned,dci_v3,1,11
109,cross/aligned,dci_v3_a8,1,11
109,cross/aligned,best_axis_oracle,1,11
109,cross/aligned,every_k2,0,6
109,cross/aligned,adwin,0,0
109,cross/aligned,mcusum,1,11
109,cross/aligned,sketch1,1,11
110,cross/aligned,always_multiD,1,13
110,cross/aligned,union4_bonf,1,14
110,cross/aligned,dci_v3,1,14
110,cross/aligned,dci_v3_a8,1,14
110,cross/aligned,best_axis_oracle,1,11
110,cross/aligned,every_k2,0,7
110,cross/aligned,adwin,0,0
110,cross/aligned,mcusum,1,11
110,cross/aligned,sketch1,1,14
111,cross/aligned,always_multiD,1,15
111,cross/aligned,union4_bonf,1,15
111,cross/aligned,dci_v3,1,15
111,cross/aligned,dci_v3_a8,1,15
