cand_id,stratum,policy,hit,fa
44,cross/offaxis/l1,best_axis_oracle,1,0
44,cross/offaxis/l1,every_k2,0,3
44,cross/offaxis/l1,adwin,0,0
44,cross/offaxis/l1,mcusum,0,1
44,cross/offaxis/l1,sketch1,0,3
45,cross/offaxis/l0.05,always_multiD,0,2
45,cross/offaxis/l0.05,union4_bonf,0,2
45,cross/offaxis/l0.05,dci_v3,0,2
45,cross/offaxis/l0.05,dci_v3_a8,0,2
45,cross/offaxis/l0.05,best_axis_oracle,0,0
45,cross/offaxis/l0.05,every_k2,0,0
45,cross/offaxis/l0.05,adwin,0,0
45,cross/offaxis/l0.05,mcusum,0,0
45,cross/offaxis/l0.05,sketch1,0,1
46,cross/offaxis/l0.1,always_multiD,0,2
46,cross/offaxis/l0.1,union4_bonf,0,2
46,cross/offaxis/l0.1,dci_v3,0,2
46,cross/offaxis/l0.1,dci_v3_a8,0,2
46,cross/offaxis/l0.1,best_axis_oracle,0,0
46,cross/offaxis/l0.1,every_k2,0,0
46,cross/offaxis/l0.1,adwin,0,0
46,cross/offaxis/l0.1,mcusum,0,0
46,cross/offaxis/l0.1,sketch1,0,1
47,cross/offaxis/l0.2,always_multiD,0,2
47,cross/offaxis/l0.2,union4_bonf,0,1
47,cross/offaxis/l0.2,dci_v3,0,1
47,cross/offaxis/l0.2,dci_v3_a8,0,2
47,cross/offaxis/l0.2,best_axis_oracle,0,0
47,cross/offaxis/l0.2,every_k2,0,0
47,cross/offaxis/l0.2,adwin,0,0
47,cross/offaxis/l0.2,mcusum,0,0
47,cross/offaxis/l0.2,sketch1,0,1
48,cross/offaxis/l0.4,always_multiD,1,1
48,cross/offaxis/l0.4,union4_bonf,0,1
48,cross/offaxis/l0.4,dci_v3,0,1
48,cross/offaxis/l0.4,dci_v3_a8,0,1
48,cross/offaxis/l0.4,best_axis_oracle,1,0
48,cross/offaxis/l0.4,every_k2,0,1
48,cross/offaxis/l0.4,adwin,0,0
48,cross/offaxis/l0.4,mcusum,0,0
48,cross/offaxis/l0.4,sketch1,0,1
49,cross/offaxis/l1,always_multiD,1,3
49,cross/offaxis/l1,union4_bonf,1,1
49,cross/offaxis/l1,dci_v3,1,1
49,cross/offaxis/l1,dci_v3_a8,1,2
49,cross/offaxis/l1,best_axis_oracle,1,0
49,cross/offaxis/l1,every_k2,1,1
49,cross/offaxis/l1,adwin,0,0
49,cross/offaxis/l1,mcusum,0,0
49,cross/offaxis/l1,sketch1,0,1
50,cross/offaxis/l0.05,always_multiD,0,3
50,cross/offaxis/l0.05,union4_bonf,0,3
50,cross/offaxis/l0.05,dci_v3,0,3
50,cross/offaxis/l0.05,dci_v3_a8,0,2
50,cross/offaxis/l0.05,best_axis_oracle,0,0
50,cross/offaxis/l0.05,every_k2,0,2
50,cross/offaxis/l0.05,adwin,0,0
50,cross/offaxis/l0.05,mcusum,0,0
50,cross/offaxis/l0.05,sketch1,0,1
51,cross/offaxis/l0.1,always_multiD,0,3
51,cross/offaxis/l0.1,union4_bonf,0,3
51,cross/offaxis/l0.1,dci_v3,0,3
51,cross/offaxis/l0.1,dci_v3_a8,0,3
51,cross/offaxis/l0.1,best_axis_oracle,0,0
51,cross/offaxis/l0.1,every_k2,0,1
51,cross/offaxis/l0.1,adwin,0,0
51,cross/offaxis/l0.1,mcusum,0,0
51,cross/offaxis/l0.1,sketch1,0,1
52,cross/offaxis/l0.2,always_multiD,0,5
52,cross/offaxis/l0.2,union4_bonf,0,2
52,cross/offaxis/l0.2,dci_v3,0,2
52,cross/offaxis/l0.2,dci_v3_a8,0,2
52,cross/offaxis/l0.2,best_axis_oracle,0,0
52,cross/offaxis/l0.2,every_k2,0,2
52,cross/offaxis/l0.2,adwin,0,0
52,cross/offaxis/l0.2,mcusum,0,0
52,cross/offaxis/l0.2,sketch1,0,1
53,cross/offaxis/l0.4,always_multiD,1,4
53,cross/offaxis/l0.4,union4_bonf,0,1
53,cross/offaxis/l0.4,dci_v3,0,1
53,cross/offaxis/l0.4,dci_v3_a8,0,1
53,cross/offaxis/l0.4,best_axis_oracle,0,0
53,cross/offaxis/l0.4,every_k2,1,2
53,cross/offaxis/l0.4,adwin,0,0
53,cross/offaxis/l0.4,mcusum,0,0
53,cross/offaxis/l0.4,sketch1,0,2
54,cross/offaxis/l1,always_multiD,1,11
54,cross/offaxis/l1,union4_bonf,1,10
54,cross/offaxis/l1,dci_v3,1,11
54,cross/offaxis/l1,dci_v3_a8,1,11
54,cross/offaxis/l1,best_axis_oracle,1,0
54,cross/offaxis/l1,every_k2,1,5
54,cross/offaxis/l1,adwin,0,0
54,cross/offaxis/l1,mcusum,0,7
54,cross/offaxis/l1,sketch1,1,8
55,cross/offaxis/l0.05,always_multiD,0,3
55,cross/offaxis/l0.05,union4_bonf,0,3
55,cross/offaxis/l0.05,dci_v3,0,3
55,cross/offaxis/l0.05,dci_v3_a8,0,2
55,cross/offaxis/l0.05,best_axis_oracle,0,0
55,cross/offaxis/l0.05,every_k2,0,1
55,cross/offaxis/l0.05,adwin,0,0
