id,arm,cluster_a,start_a,cluster_b,start_b,lam,stratum,R_at_onset,DCI_at_onset,minR_onset_p2,esc_windows
87,cross,14,1065,100,10065,0.2,cross/offaxis/l0.2,1.0,1.1634,1.0,0
88,cross,14,1065,100,10065,0.4,cross/offaxis/l0.4,1.0,1.221,1.0,0
89,cross,14,1065,100,10065,1.0,cross/offaxis/l1,0.1561,1.4192,0.1393,12
90,cross,14,1065,100,12065,0.05,cross/offaxis/l0.05,1.0,1.155,1.0,0
91,cross,14,1065,100,12065,0.1,cross/offaxis/l0.1,1.0,1.1563,1.0,0
92,cross,14,1065,100,12065,0.2,cross/offaxis/l0.2,1.0,1.1664,1.0,0
93,cross,14,1065,100,12065,0.4,cross/offaxis/l0.4,1.0,1.2163,1.0,0
94,cross,14,1065,100,12065,1.0,cross/offaxis/l1,0.157,1.4169,0.1397,12
95,cross,14,1065,100,8065,0.05,cross/offaxis/l0.05,1.0,1.1551,1.0,0
96,cross,14,1065,100,8065,0.1,cross/offaxis/l0.1,1.0,1.1565,1.0,0
97,cross,14,1065,100,8065,0.2,cross/offaxis/l0.2,1.0,1.1635,1.0,0
98,cross,14,1065,100,8065,0.4,cross/offaxis/l0.4,1.0,1.2354,1.0,0
99,cross,14,1065,100,8065,1.0,cross/offaxis/l1,0.1565,1.4182,0.1423,12
100,cross,14,1065,100,20065,0.05,cross/offaxis/l0.05,1.0,1.1547,1.0,0
101,cross,14,1065,100,20065,0.1,cross/offaxis/l0.1,1.0,1.1553,1.0,0
102,cross,14,1065,100,20065,0.2,cross/offaxis/l0.2,1.0,1.1611,1.0,0
103,cross,14,1065,100,20065,0.4,cross/offaxis/l0.4,1.0,1.1991,1.0,0
104,cross,14,1065,100,20065,1.0,cross/offaxis/l1,0.1612,1.4067,0.1541,12
105,cross,14,1065,31,7065,0.05,cross/offaxis/l0.05,1.0,1.1583,1.0,0
106,cross,14,1065,31,7065,0.1,cross/offaxis/l0.1,1.0,1.1625,1.0,0
107,cross,14,1065,31,7065,0.2,cross/offaxis/l0.2,1.0,1.1866,1.0,0
108,cross,14,1065,31,7065,0.4,cross/offaxis/l0.4,1.0,1.3414,1.0,0
109,cross,14,1065,31,7065,1.0,cross/offaxis/l1,0.1569,1.4172,0.147,12
110,cross,14,1065,31,2065,0.05,cross/offaxis/l0.05,1.0,1.1564,1.0,0
111,cross,14,1065,31,2065,0.1,cross/offaxis/l0.1,1.0,1.1571,1.0,0
112,cross,14,1065,31,2065,0.2,cross/offaxis/l0.2,1.0,1.1733,1.0,0
113,cross,14,1065,31,2065,0.4,cross/offaxis/l0.4,1.0,1.2805,1.0,0
114,cross,14,1065,31,2065,1.0,cross/offaxis/l1,0.1582,1.4141,0.155,12
115,cross,14,1065,31,65,0.05,cross/offaxis/l0.05,1.0,1.159,1.0,0
116,cross,14,1065,31,65,0.1,cross/offaxis/l0.1,1.0,1.1642,1.0,0
117,cross,14,1065,31,65,0.2,cross/offaxis/l0.2,1.0,1.1902,1.0,0
118,cross,14,1065,31,65,0.4,cross/offaxis/l0.4,1.0,1.3693,1.0,0
119,cross,14,1065,31,65,1.0,cross/offaxis/l1,0.1582,1.4141,0.1401,12
120,cross,14,1065,31,2065,0.05,cross/offaxis/l0.05,1.0,1.1577,1.0,0
121,cross,14,1065,31,2065,0.1,cross/offaxis/l0.1,1.0,1.1599,1.0,0
122,cross,14,1065,31,2065,0.2,cross/offaxis/l0.2,1.0,1.1767,1.0,0
123,cross,14,1065,31,2065,0.4,cross/offaxis/l0.4,1.0,1.2982,1.0,0
124,cross,14,1065,31,2065,1.0,cross/offaxis/l1,0.1582,1.4141,0.155,12
