block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
3,7400,dci_gated,22,MixShift3,0,1.0,1.0,0.914326,1.0,0.569359,0.918269,0,1.0015,cheap,0.9996,0,2.7977,cheap,1,20,20,8600.53,9275.728,2.1562,1.0
3,7400,dci_gated,23,MixShift3,0,0.828067,1.0,0.645658,0.839744,0.825641,0.827943,0,1.0015,cheap,0.9996,0,1.7288,cheap,1,20,20,9941.471,10338.558,1.9345,1.0
3,7400,dci_gated,24,MixShift3,0,0.882123,1.0,0.878251,0.839744,0.712179,0.870957,0,1.0015,cheap,0.9995,0,1.6883,cheap,1,20,20,9032.913,9630.011,2.0768,1.0
4,7500,dci_gated,1,MixBase,0,0.869421,1.0,0.586722,1.0,0.751923,0.847488,0,1.0,cheap,1.0,0,2.8331,cheap,1,20,20,4966.267,5354.709,3.735,1.0
4,7500,dci_gated,2,MixBase,0,0.86444,1.0,0.602656,1.0,0.752179,0.849468,0,1.0123,cheap,1.0,0,1.7217,cheap,1,20,20,4892.722,5570.565,3.5903,1.0
4,7500,dci_gated,3,MixBase,0,0.924065,1.0,0.781926,1.0,0.859103,0.916267,0,1.9117,cheap,1.0,0,1.6902,cheap,1,20,20,5581.935,6205.946,3.2227,1.0
4,7500,dci_gated,4,MixBase,0,0.926974,1.0,0.760709,1.0,0.828846,0.908212,0,1.6001,cheap,1.0,0,1.7102,cheap,1,20,20,5175.969,5774.909,3.4633,1.0
4,7500,dci_gated,5,MixShift1,1,0.68833,1.0,0.523489,0.440092,0.698462,0.669568,1,1.0653,cheap,1.0396,0,1.7996,cheap,1,20,20,4892.696,5508.207,3.6309,1.0
4,7500,dci_gated,6,MixShift1,0,0.927134,1.0,0.764639,1.0,0.717051,0.892269,0,1.0851,cheap,1.083,0,3.0168,cheap,1,20,20,5423.738,5987.325,3.3404,1.0
4,7500,dci_gated,7,MixShift1,0,0.924065,1.0,0.615667,1.0,0.705128,0.859919,0,1.099,cheap,1.0669,0,1.7536,cheap,1,20,20,5823.17,6329.522,3.1598,1.0
4,7500,dci_gated,8,MixShift1,0,0.874615,1.0,0.435409,1.0,0.815897,0.82812,0,1.1694,cheap,1.0033,0,1.7576,cheap,1,20,20,4390.384,4858.582,4.1164,1.0
4,7500,dci_gated,9,MixSurge1,1,0.865985,0.625,0.637715,1.0,0.775769,0.785405,1,1.0013,cheap,0.9995,0,1.747,cheap,1,32,32,7908.511,8923.724,3.5859,1.0
4,7500,dci_gated,10,MixSurge1,0,0.940549,1.0,0.759289,1.0,0.671741,0.887756,0,1.0013,cheap,0.9995,0,2.8498,cheap,1,32,32,7507.018,8461.75,3.7817,1.0
4,7500,dci_gated,11,MixSurge1,0,0.854695,1.0,0.578127,1.0,0.769852,0.844777,0,1.0013,cheap,0.9995,0,1.6765,cheap,1,32,32,8499.299,9599.866,3.3334,1.0
4,7500,dci_gated,12,MixSurge1,0,0.944342,1.0,0.861466,1.0,0.838003,0.934079,0,1.0014,cheap,0.9995,0,1.6884,cheap,1,32,32,7962.178,9071.987,3.5273,1.0
4,7500,dci_gated,13,MixShift2,1,0.577033,1.0,0.250644,0.807882,0.878003,0.687664,1,1.002,cheap,0.9993,0,1.696,cheap,1,32,32,16814.263,17893.103,1.7884,1.0
4,7500,dci_gated,14,MixShift2,0,0.851413,1.0,0.695674,1.0,0.785506,0.869814,0,1.002,cheap,0.9993,0,2.9027,cheap,1,32,32,11803.518,12555.837,2.5486,1.0
